Year,Make,Model,Class,Transmission,Cylinders,Engine,FuelType,City,Highway,Combined
1993,Isuzu,Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.6,Regular,15,19,17
1993,Isuzu,Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,3.1,Regular,14,17,15
1993,Mitsubishi,Truck 4WD,Standard Pickup Trucks,Automatic 4-spd,4,2.4,Regular,16,19,17
1993,Mitsubishi,Truck 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.4,Regular,17,20,18
1993,Mitsubishi,Truck 4WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,15,20,17
1993,Mazda,B2600i 4x4,Standard Pickup Trucks,Automatic 4-spd,4,2.6,Regular,15,19,17
1993,Mazda,B2600i 4x4,Standard Pickup Trucks,Manual 5-spd,4,2.6,Regular,16,19,17
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Automatic 4-spd,4,2.4,Regular,16,18,17
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.4,Regular,17,20,18
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,12,16,13
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Manual 4-spd,6,2.8,Regular,16,23,19
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,13,16,14
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,14,17,15
1993,Chevrolet,Astro AWD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,14,20,16
1993,Chevrolet,Astro 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,15,21,17
1993,Chevrolet,Astro 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,G10/20 Van 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,G10/20 Van 2WD,Vans,Automatic 4-spd,8,5,Regular,13,17,15
1993,Chevrolet,G10/20 Van 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,17,14
1993,Chevrolet,G30 Van 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,16
1993,Chevrolet,G30 Van 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,18,14
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Manual 5-spd,6,2.8,Regular,15,22,18
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 4-spd,6,3.9,Regular,13,16,14
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 3-spd,6,3.9,Regular,14,16,15
1993,Dodge,B150/B250 Van 2WD,Vans,Manual 5-spd,6,3.9,Regular,12,17,14
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 3-spd,8,5.2,Regular,11,13,12
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,16,13
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 4-spd,8,5.9,Regular,11,15,13
1993,Dodge,B350 Van 2WD,Vans,Automatic 3-spd,6,3.9,Regular,14,16,14
1993,Dodge,B350 Van 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,16,13
1993,Dodge,B350 Van 2WD,Vans,Automatic 4-spd,8,5.9,Regular,11,14,12
1993,Ford,Aerostar Van,Vans,Automatic 4-spd,6,3,Regular,16,22,18
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.2,Regular,11,12,11
1993,Ford,Aerostar Van,Vans,Manual 5-spd,6,3,Regular,17,23,19
1993,Ford,Aerostar Van,Vans,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,Aerostar Van AWD,Vans,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,E150 Econoline 2WD,Vans,Automatic 3-spd,6,4.9,Regular,13,15,14
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,6,4.9,Regular,13,17,15
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,8,5,Regular,12,17,14
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,8,5,Regular,12,17,14
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,8,5.8,Regular,11,15,12
1993,Ford,E250 Econoline 2WD,Vans,Automatic 3-spd,6,4.9,Regular,12,14,13
1993,Ford,E250 Econoline 2WD,Vans,Automatic 4-spd,6,4.9,Regular,12,17,14
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.2,Regular,11,13,12
1993,Ford,E250 Econoline 2WD,Vans,Automatic 4-spd,8,5.8,Regular,10,14,11
1993,GMC,Vandura G15/25 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,GMC,Vandura G15/25 2WD,Vans,Automatic 4-spd,8,5,Regular,13,17,15
1993,GMC,Vandura G15/25 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,17,14
1993,GMC,Vandura G35 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,GMC,Vandura G35 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,18,14
1993,GMC,Safari AWD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,14,20,16
1993,GMC,Safari 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,15,21,17
1993,GMC,Safari 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,Astro AWD (passenger),Vans,Automatic 4-spd,6,4.3,Premium,14,18,15
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.2,Regular,12,15,13
1993,Chevrolet,Astro 2WD (passenger),Vans,Automatic 4-spd,6,4.3,Premium,14,19,16
1993,Chevrolet,Astro 2WD (passenger),Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,Sport Van G10/20 2WD,Vans,Automatic 4-spd,6,4.3,Regular,14,17,15
1993,Chevrolet,Sport Van G10/20 2WD,Vans,Automatic 4-spd,8,5,Regular,12,16,13
1993,Chevrolet,Sport Van G10/20 2WD,Vans,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Chevrolet,Sport Van G30 2WD,Vans,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 4-spd,6,3.9,Regular,12,16,14
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 3-spd,6,3.9,Regular,13,16,14
1993,Dodge,B150/B250 Wagon 2WD,Vans,Manual 5-spd,6,3.9,Regular,12,17,14
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 3-spd,8,5.2,Regular,11,13,12
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.9,Regular,10,12,11
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,16,13
1993,Dodge,B150/B250 Wagon 2WD,Vans,Automatic 4-spd,8,5.9,Regular,11,14,12
1993,Dodge,B350 Wagon 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,14,12
1993,Dodge,B350 Wagon 2WD,Vans,Automatic 4-spd,8,5.9,Regular,10,13,12
1993,Ford,Aerostar Wagon,Vans,Automatic 4-spd,6,3,Regular,15,21,17
1993,Ford,Aerostar Wagon,Vans,Manual 5-spd,6,3,Regular,15,22,17
1993,Ford,Aerostar Wagon,Vans,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,Aerostar Wagon AWD,Vans,Automatic 4-spd,6,4,Regular,14,18,16
1993,Ford,E150 Club Wagon,Vans,Automatic 4-spd,6,4.9,Regular,12,17,14
1993,Ford,E150 Club Wagon,Vans,Automatic 4-spd,8,5,Regular,12,16,14
1985,Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,4,2.2,Regular,16,19,17
1993,Ford,E150 Club Wagon,Vans,Automatic 4-spd,8,5,Regular,11,15,13
1993,Ford,E150 Club Wagon,Vans,Automatic 4-spd,8,5.8,Regular,10,14,12
1993,GMC,Rally G15/25 2WD,Vans,Automatic 4-spd,6,4.3,Regular,14,17,15
1993,GMC,Rally G15/25 2WD,Vans,Automatic 4-spd,8,5,Regular,12,16,13
1993,GMC,Rally G15/25 2WD,Vans,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,GMC,Rally G35 2WD,Vans,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,GMC,Safari AWD (passenger),Vans,Automatic 4-spd,6,4.3,Premium,14,18,15
1993,GMC,Safari 2WD (passenger),Vans,Automatic 4-spd,6,4.3,Premium,14,19,16
1993,GMC,Safari 2WD (passenger),Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Toyota,Previa,Vans,Automatic 4-spd,4,2.4,Regular,15,20,17
1985,Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,4,2.2,Regular,17,20,18
1993,Toyota,Previa,Vans,Manual 5-spd,4,2.4,Regular,16,20,18
1993,Toyota,Previa All-Trac,Vans,Automatic 4-spd,4,2.4,Regular,15,19,17
1993,Volkswagen,Eurovan,Vans,Automatic 4-spd,5,2.5,Regular,15,18,16
1993,Volkswagen,Eurovan,Vans,Manual 5-spd,5,2.5,Regular,15,20,17
1993,Chevrolet,Lumina/APV Minivan 2WD,Special Purpose Vehicles,Automatic 3-spd,6,3.1,Regular,16,21,18
1993,Chevrolet,Lumina/APV Minivan 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3.8,Regular,15,23,18
1993,Chevrolet,Suburban 1500 2WD,Special Purpose Vehicles,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicles,Automatic 4-spd,6,4.3,Premium,15,22,18
1993,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicles,Manual 5-spd,6,4.3,Regular,16,22,18
1993,Nissan,Pathfinder 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,15,19,16
1985,Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD,Manual 4-spd,4,2.2,Regular,21,26,23
1993,Nissan,Pathfinder 2WD,Special Purpose Vehicles,Manual 5-spd,6,3,Regular,14,17,15
1993,Nissan,Quest,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,16,21,18
1993,Chrysler,Town and Country 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3.3,Regular,16,22,18
1993,Dodge,Caravan C/V/Grand Caravan 2WD,Special Purpose Vehicles,Automatic 3-spd,4,2.5,Regular,18,24,20
1993,Dodge,Caravan C/V/Grand Caravan 2WD,Special Purpose Vehicles,Manual 5-spd,4,2.5,Regular,18,28,21
1993,Dodge,Caravan C/V/Grand Caravan 2WD,Special Purpose Vehicles,Automatic 3-spd,6,3,Regular,17,22,19
1993,Dodge,Caravan C/V/Grand Caravan 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3.3,Regular,16,22,18
1993,Dodge,Caravan/Grand Caravan 2WD,Special Purpose Vehicles,Automatic 3-spd,4,2.5,Regular,18,24,20
1993,Dodge,Caravan/Grand Caravan 2WD,Special Purpose Vehicles,Manual 5-spd,4,2.5,Regular,18,28,21
1993,Dodge,Caravan/Grand Caravan 2WD,Special Purpose Vehicles,Automatic 3-spd,6,3,Regular,17,22,19
1985,Dodge,Colt,Subcompact Cars,Manual 5-spd,4,1.5,Regular,27,35,30
1985,Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD,Manual 4-spd,4,2.2,Regular,21,26,23
1993,Dodge,Caravan/Grand Caravan 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3.3,Regular,16,22,18
1993,Dodge,Ramcharger 2WD,Special Purpose Vehicles,Automatic 4-spd,8,5.2,Regular,11,16,13
1993,Dodge,Ramcharger 2WD,Special Purpose Vehicles,Automatic 4-spd,8,5.9,Regular,11,15,13
1993,Jeep,Cherokee 2WD,Special Purpose Vehicles,Manual 5-spd,4,2.5,Regular,18,22,19
1993,Jeep,Cherokee 2WD,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,14,19,16
1993,Jeep,Cherokee 2WD,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,15,20,17
1993,Ford,Explorer 2WD,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,Explorer 2WD,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,16,22,18
1993,Mercury,Villager FWD Van,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,16,21,18
1993,Mercury,Villager FWD Wagon,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,16,21,18
1985,Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD,Manual 5-spd,4,2.2,Regular,18,25,21
1993,Geo,Tracker Convertible 2WD,Special Purpose Vehicles,Automatic 3-spd,4,1.6,Regular,20,22,21
1993,Geo,Tracker Convertible 2WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,22,24,23
1993,GMC,Suburban 1500 2WD,Special Purpose Vehicles,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,GMC,Jimmy 2WD,Special Purpose Vehicles,Automatic 4-spd,6,4.3,Premium,15,22,18
1993,GMC,Jimmy 2WD,Special Purpose Vehicles,Manual 5-spd,6,4.3,Regular,16,22,18
1993,Isuzu,Amigo 2WD,Special Purpose Vehicles,Manual 5-spd,4,2.3,Regular,16,19,17
1993,Isuzu,Amigo 2WD,Special Purpose Vehicles,Automatic 4-spd,4,2.6,Regular,15,19,17
1993,Isuzu,Amigo 2WD,Special Purpose Vehicles,Manual 5-spd,4,2.6,Regular,15,19,17
1993,Isuzu,Rodeo 2WD,Special Purpose Vehicles,Manual 5-spd,4,2.6,Regular,16,20,17
1993,Mazda,MPV,Special Purpose Vehicles,Automatic 4-spd,4,2.6,Regular,16,22,18
1985,Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD,Manual 5-spd,4,2.2,Regular,18,25,20
1993,Mazda,MPV,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,15,20,17
1993,Pontiac,Trans Sport 2WD,Special Purpose Vehicles,Automatic 3-spd,6,3.1,Regular,16,21,18
1993,Pontiac,Trans Sport 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3.8,Regular,15,23,18
1993,Plymouth,Voyager/Grand Voyager 2WD,Special Purpose Vehicles,Automatic 3-spd,4,2.5,Regular,18,24,20
1993,Plymouth,Voyager/Grand Voyager 2WD,Special Purpose Vehicles,Manual 5-spd,4,2.5,Regular,18,28,21
1993,Plymouth,Voyager/Grand Voyager 2WD,Special Purpose Vehicles,Automatic 3-spd,6,3,Regular,17,22,19
1993,Plymouth,Voyager/Grand Voyager 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3.3,Regular,16,22,18
1993,Suzuki,Samurai 2WD,Special Purpose Vehicles,Manual 5-spd,4,1.3,Regular,24,26,25
1993,Suzuki,Sidekick Hardtop 2WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,21,24,22
1993,Suzuki,Sidekick Hardtop 2WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,20,24,21
1985,Dodge,Caravan/Ram Van 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,4,2.6,Regular,16,20,17
1993,Suzuki,Sidekick 2WD,Special Purpose Vehicles,Automatic 3-spd,4,1.6,Regular,20,22,21
1993,Suzuki,Sidekick 2WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,22,24,23
1993,Oldsmobile,Silhouette 2WD,Special Purpose Vehicles,Automatic 3-spd,6,3.1,Regular,16,21,18
1993,Oldsmobile,Silhouette 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3.8,Regular,15,23,18
1993,Toyota,4Runner 2WD,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,15,19,17
1993,Chevrolet,Blazer 1500 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.7,Regular,11,15,13
1993,Chevrolet,Blazer 1500 4WD,Special Purpose Vehicles,Manual 5-spd,8,5.7,Regular,11,16,13
1993,Chevrolet,Suburban 1500 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.7,Regular,11,15,12
1993,Chevrolet,S10 Blazer 4WD,Special Purpose Vehicles,Automatic 4-spd,6,4.3,Premium,15,20,16
1993,Chevrolet,S10 Blazer 4WD,Special Purpose Vehicles,Manual 5-spd,6,4.3,Regular,15,20,16
1985,E. P. Dutton  Inc.,Funeral Coach,Special Purpose Vehicles,Automatic 4-spd,8,4.1,Regular,15,21,17
1993,Nissan,Pathfinder 4WD,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,14,17,15
1993,Nissan,Pathfinder 4WD,Special Purpose Vehicles,Manual 5-spd,6,3,Regular,14,17,15
1993,Chrysler,Town and Country 4WD,Special Purpose Vehicles,Automatic 4-spd,6,3.3,Regular,15,20,17
1993,Dodge,Caravan/Grand Caravan 4WD,Special Purpose Vehicles,Automatic 4-spd,6,3.3,Regular,15,20,17
1993,Dodge,Ramcharger 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.2,Regular,11,15,12
1993,Dodge,Ramcharger 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.9,Regular,10,14,12
1993,Jeep,Cherokee 4WD,Special Purpose Vehicles,Manual 5-spd,4,2.5,Regular,17,20,18
1993,Jeep,Cherokee 4WD,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,14,18,15
1993,Jeep,Cherokee 4WD,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,15,18,16
1993,Jeep,Grand Cherokee 4WD,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,13,19,15
1985,GMC,C15 Suburban 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,8,5,Regular,12,16,14
1993,Jeep,Grand Cherokee 4WD,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,13,19,15
1993,Jeep,Grand Cherokee 4WD,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,15,20,16
1993,Jeep,Grand Cherokee 4WD,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,15,20,16
1993,Jeep,Grand Cherokee 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.2,Regular,12,17,14
1993,Jeep,Wrangler 4WD,Special Purpose Vehicles,Manual 5-spd,4,2.5,Regular,16,19,17
1993,Jeep,Wrangler 4WD,Special Purpose Vehicles,Automatic 3-spd,6,4,Regular,14,15,14
1993,Jeep,Wrangler 4WD,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,15,18,16
1993,Ford,Bronco 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5,Regular,12,17,14
1993,Ford,Bronco 4WD,Special Purpose Vehicles,Manual 5-spd,8,5,Regular,12,16,13
1993,Ford,Bronco 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.8,Regular,11,15,12
1985,GMC,C15 Suburban 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Ford,Explorer 4WD,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,14,18,16
1993,Ford,Explorer 4WD,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,15,20,17
1993,Geo,Tracker Convertible 4WD,Special Purpose Vehicles,Automatic 3-spd,4,1.6,Regular,20,22,21
1993,Geo,Tracker Convertible 4WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,22,24,23
1993,Geo,Tracker Van 4WD,Special Purpose Vehicles,Automatic 3-spd,4,1.6,Regular,20,22,21
1993,Geo,Tracker Van 4WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,22,24,23
1993,GMC,Jimmy 4WD,Special Purpose Vehicles,Automatic 4-spd,6,4.3,Premium,15,20,16
1993,GMC,Jimmy 4WD,Special Purpose Vehicles,Manual 5-spd,6,4.3,Regular,15,20,16
1993,GMC,Suburban 1500 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.7,Regular,11,15,12
1993,GMC,Yukon 1500 4WD,Special Purpose Vehicles,Automatic 4-spd,8,5.7,Regular,11,15,13
1985,GMC,C15 Suburban 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,8,6.2,Diesel,15,22,18
1993,GMC,Yukon 1500 4WD,Special Purpose Vehicles,Manual 5-spd,8,5.7,Regular,11,16,13
1993,Isuzu,Amigo 4WD,Special Purpose Vehicles,Manual 5-spd,4,2.6,Regular,16,20,17
1993,Isuzu,Trooper,Special Purpose Vehicles,Automatic 4-spd,6,3.2,Regular,14,17,15
1993,Isuzu,Trooper,Special Purpose Vehicles,Automatic 4-spd,6,3.2,Regular,14,17,15
1993,Isuzu,Trooper,Special Purpose Vehicles,Manual 5-spd,6,3.2,Regular,13,16,14
1993,Isuzu,Trooper,Special Purpose Vehicles,Manual 5-spd,6,3.2,Regular,14,17,16
1993,Land Rover,Defender 110,Special Purpose Vehicles,Manual 5-spd,8,3.9,Premium,9,11,10
1993,Land Rover,Range Rover County,Special Purpose Vehicles,Automatic 4-spd,8,3.9,Premium,11,14,12
1993,Land Rover,Range Rover County LWB,Special Purpose Vehicles,Automatic 4-spd,8,4.3,Premium,11,14,12
1993,Mitsubishi,Montero,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,14,17,15
1985,GMC,S15 Jimmy 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,4,2.5,Regular,18,24,20
1993,Mitsubishi,Montero,Special Purpose Vehicles,Manual 5-spd,6,3,Regular,14,17,15
1993,Mazda,MPV 4x4,Special Purpose Vehicles,Automatic 4-spd,6,3,Regular,14,17,15
1993,Mazda,Navajo,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,15,20,17
1993,Mazda,Navajo,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,16,21,18
1993,Mazda,Navajo 4x4,Special Purpose Vehicles,Automatic 4-spd,6,4,Regular,14,18,16
1993,Mazda,Navajo 4x4,Special Purpose Vehicles,Manual 5-spd,6,4,Regular,16,21,18
1993,PAS  Inc,Pas-Typhoon,Special Purpose Vehicles,Automatic 4-spd,6,4.3,Premium,13,17,14
1993,Plymouth,Voyager/Grand Voyager 4WD,Special Purpose Vehicles,Automatic 4-spd,6,3.3,Regular,15,20,17
1993,Subaru,Loyale AWD,Special Purpose Vehicles,Automatic 3-spd,4,1.8,Regular,19,22,20
1993,Subaru,Loyale AWD,Special Purpose Vehicles,Manual 5-spd,4,1.8,Regular,21,26,23
1985,GMC,S15 Jimmy 2WD,Special Purpose Vehicle 2WD,Manual 4-spd,4,2.5,Regular,19,24,21
1993,Subaru,Loyale Wagon AWD,Special Purpose Vehicles,Automatic 3-spd,4,1.8,Regular,19,20,20
1993,Subaru,Loyale Wagon AWD,Special Purpose Vehicles,Manual 5-spd,4,1.8,Regular,21,26,23
1993,Suzuki,Samurai Soft-top 4WD,Special Purpose Vehicles,Manual 5-spd,4,1.3,Regular,24,26,25
1993,Suzuki,Sidekick Hardtop 4WD,Special Purpose Vehicles,Automatic 3-spd,4,1.6,Regular,20,22,21
1993,Suzuki,Sidekick Hardtop 4WD,Special Purpose Vehicles,Automatic 4-spd,4,1.6,Regular,19,24,21
1993,Suzuki,Sidekick Hardtop 4WD,Special Purpose Vehicles,Automatic 4-spd,4,1.6,Regular,19,24,21
1993,Suzuki,Sidekick Hardtop 4WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,20,24,21
1993,Suzuki,Sidekick Hardtop 4WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,22,24,23
1993,Suzuki,Sidekick Hardtop 4WD,Special Purpose Vehicles,Manual 5-spd,4,1.6,Regular,21,24,22